Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"S. Sumetthapiwat","A column generation on two-dimensional cutting stock problem with fixed-size usable leftover and multiple stock sizes",2020,"International Journal of Logistics Systems and Management","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079072265&origin=inward",1,"2023-05-11 12:47:23","Article","10.1504/IJLSM.2020.104781","1742-7967","https://api.elsevier.com/content/abstract/scopus_id/85079072265",35,2,273,288,6,2.00,6,1,3,"","",""
2,"D. Morillo-Torres","A Mixed-Integer Linear Programming Model for the Cutting Stock Problem in the Steel Industry",2021,"Communications in Computer and Information Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85116805431&origin=inward",2,"2023-05-11 12:47:23","Conference Paper","10.1007/978-3-030-86702-7_27","1865-0929","https://api.elsevier.com/content/abstract/scopus_id/85116805431",1431,,315,326,2,1.00,2,1,2,"","",""
